Tanggal,Bawang Merah,Bawang Putih,Cabai Merah Keriting,Cabai Rawit Merah,Daging Sapi,Daging Ayam,Telur Ayam,Beras,Minyak Goreng
2024-01-09,34560.0,37180.0,65460.0,64020.0,134840.0,35200.0,26120.0,14450.0,15410.0
2024-01-10,33060.0,37180.0,66600.0,60720.0,135480.0,34840.0,26310.0,14450.0,15410.0
2024-01-11,33520.0,34950.0,64830.0,60420.0,134120.0,36020.0,26560.0,14600.0,15120.0
2024-01-12,33070.0,36830.0,63420.0,59920.0,134220.0,35150.0,25990.0,14380.0,15470.0
2024-01-13,31220.0,36530.0,61170.0,58840.0,132450.0,34840.0,25870.0,14390.0,15410.0
2024-01-14,31320.0,36280.0,60510.0,61980.0,133690.0,35200.0,25860.0,14390.0,15410.0
2024-01-15,30050.0,36660.0,64210.0,58210.0,132450.0,34840.0,25740.0,14520.0,15360.0
2024-01-16,30030.0,36540.0,62930.0,57390.0,131140.0,35510.0,26780.0,14430.0,14900.0
2024-01-17,30150.0,36660.0,62300.0,58980.0,132450.0,35760.0,26120.0,14400.0,15410.0
2024-01-18,30130.0,37010.0,60940.0,54130.0,134390.0,35630.0,25770.0,14780.0,15420.0
2024-01-19,27490.0,38090.0,58190.0,49760.0,133270.0,35340.0,25770.0,14680.0,15420.0
2024-01-20,28640.0,38520.0,59340.0,51380.0,133820.0,36400.0,26170.0,14530.0,15470.0
2024-01-21,28710.0,36480.0,59180.0,52310.0,133700.0,35840.0,26280.0,14380.0,15480.0
2024-01-22,27940.0,37030.0,61680.0,49860.0,133070.0,35610.0,26570.0,14650.0,15560.0
2024-01-23,28540.0,37340.0,67530.0,48620.0,133590.0,36170.0,26990.0,14670.0,15350.0
2024-01-24,28810.0,37110.0,67330.0,49120.0,134360.0,36400.0,26990.0,14710.0,15390.0
2024-01-25,27510.0,38030.0,64400.0,48860.0,133590.0,36010.0,27070.0,14670.0,15220.0
2024-01-26,27920.0,37110.0,63450.0,52670.0,134360.0,36380.0,26990.0,14670.0,15180.0
2024-01-27,27300.0,37650.0,62820.0,49250.0,134260.0,36490.0,26820.0,14730.0,15250.0
2024-01-28,28250.0,37370.0,59870.0,48780.0,134260.0,35950.0,26860.0,14640.0,15300.0
2024-01-29,27400.0,36620.0,62490.0,49310.0,133790.0,35670.0,26840.0,14770.0,15180.0
2024-01-30,26650.0,37670.0,61880.0,48360.0,134950.0,36590.0,26860.0,14950.0,15180.0
2024-01-31,26410.0,37310.0,60520.0,49550.0,133790.0,36320.0,26960.0,14920.0,15430.0
2024-02-01,26890.0,36950.0,59810.0,50170.0,133790.0,36460.0,26920.0,14770.0,15240.0
2024-02-02,27020.0,37430.0,61430.0,50070.0,134180.0,36320.0,26960.0,14920.0,15070.0
2024-02-03,27360.0,36560.0,62120.0,47970.0,133700.0,35680.0,27040.0,14750.0,15420.0
2024-02-04,27500.0,36670.0,64770.0,49260.0,131650.0,35650.0,27000.0,15040.0,15570.0
2024-02-05,29790.0,37130.0,67430.0,49950.0,134070.0,36970.0,27050.0,14740.0,15330.0
2024-02-06,28200.0,37400.0,68140.0,47370.0,133580.0,35660.0,27040.0,15250.0,15530.0
2024-02-07,28810.0,36680.0,64100.0,48470.0,133790.0,36900.0,27300.0,15280.0,15290.0
2024-02-08,28830.0,36900.0,65050.0,48440.0,133280.0,36980.0,27240.0,15220.0,15270.0
